"Word","WordOrder","Participant","Position","Filename","Vowel","Notes","vowel","penult","ult","focus","final","condition","tex_position","answer_1","answer_2","answer_3","answer_4","notes","Duration","f0.1","f0.2","f0.3","f0.4","f0.5","f0.6","f0.7","H1H2","Intensity","SpectralBalance","PositionFactor","FinalFactor","FocusFactor","poly0","poly1","poly2","poly3","Factor1","Factor2","Factor3"
"titi",215,"S4_",1,"PSE-20150315_S4_F.WAV","i","","i","light","light","no","no","c","top","kidau","kanan","pucuk","bawah","",0.0707832570001301,235.025876281747,238.162675424371,238.544779908649,238.341894725363,239.533451586965,240.820050091356,239.588679756523,6.20208515081177,73.9610346461534,31.5710143244421,"Initial","sentence medial","no focus",232.725540462156,3.14183974529982,-0.478555866931521,0.0254654758187532,0.662611721814297,0.108616818178517,0.511241524006774
"titi",215,"S4_",2,"PSE-20150315_S4_F.WAV","i","","i","light","light","no","no","c","top","kidau","kanan","pucuk","bawah","",0.111179377052167,283.516950423476,286.127822139051,290.304056552538,298.071004221267,305.244665524254,309.505074103518,304.842029524507,15.0464349556528,78.7148086335992,27.0100606466358,"Final","sentence medial","no focus",290.536491679343,-11.3279699755641,5.22217390486573,-0.472021717643106,-0.837105891077828,1.52224546295822,1.58197796165337
"titi",216,"S4_",1,"PSE-20150315_S4_F.WAV","i","","i","light","light","no","no","c","bottom","kidau","kanan","pucuk","bawah","",0.0709825876424475,201.626129464716,216.095933428256,224.249219053045,226.810904230471,227.506104989724,226.557973419114,223.556453181847,5.13846697713777,72.0539544789865,31.0979957405268,"Initial","sentence medial","no focus",180.336331478979,25.574360392296,-4.36328349911914,0.228094383044277,2.01566810799723,0.101024488553424,1.79708035268158
"titi",216,"S4_",2,"PSE-20150315_S4_F.WAV","i","","i","light","light","no","no","c","bottom","kidau","kanan","pucuk","bawah","",0.0885104318035701,262.091977746027,274.215897696711,282.267061554389,289.437914134685,296.662866044215,296.866051814462,293.647234099627,11.5333904740155,76.1610884076221,21.6805756295532,"Final","sentence medial","no focus",251.916665282221,10.2925179037086,0.451122416727036,-0.152519507054914,0.672787520061392,1.08665793837143,2.2069511019118
"titi",217,"S15",1,"PSE-20150318-S15_F.WAV","i","","i","light","light","yes","yes","b","right","bukit","titi",NA,NA,"",0.0710062523939996,224.65536218601,212.929844929181,210.337162554911,209.173739589325,207.076499842288,204.728086685573,202.727584408839,6.35747072737664,73.9939917907765,29.3433375991558,"Initial","sentence final","focus",239.758868271344,-19.5399838039694,4.0596283144246,-0.290704356137221,-0.875368492161077,-0.019147028216302,-0.303661584637814
"titi",217,"S15",2,"PSE-20150318-S15_F.WAV","i","","i","light","light","yes","yes","b","right","bukit","titi",NA,NA,"",0.221406387551951,224.933108345319,226.258884985196,222.57609908362,215.911006091182,207.653897191352,202.642962059557,208.221769523698,3.18492855730093,76.8063455626366,27.6325969242119,"Final","sentence final","focus",211.30552366711,19.758436410031,-7.13940037786388,0.606299611007943,2.47770746567443,-0.347228339193631,-0.793157817847581
"titi",218,"S15",1,"PSE-20150318-S15_F.WAV","i","","i","light","light","yes","yes","b","right","titi","kami",NA,NA,"",0.0549915657620659,243.668684315872,222.554823353794,216.318938159033,213.578050431361,212.004997519511,210.038772404187,207.995760320366,6.07625764811972,74.4222365303062,29.2269667149801,"Initial","sentence final","focus",273.351940327733,-37.6671511009532,7.69809906903178,-0.523414789066027,-2.0979364029063,-0.187160195969777,-1.00065492369141
"titi",218,"S15",2,"PSE-20150318-S15_F.WAV","i","","i","light","light","yes","yes","b","right","titi","kami",NA,NA,"",0.18647196647612,225.846582046006,222.036941177393,217.743208166703,213.398485226176,207.142750423001,200.849576258073,211.230677654177,5.20599953278079,76.1980557450833,27.8798967648017,"Final","sentence final","focus",218.857453662587,10.6575669569902,-5.04380035436074,0.476997729755359,1.83812906285918,-0.074763175982836,-1.05208535554168
"titi",221,"S16",1,"PSE-20150318-S16_F.WAV","i","","i","light","light","yes","no","a","right","titi","die",NA,NA,"",0.0864704085022368,258.765051090899,239.917979912629,234.525785506596,230.167722187376,224.440982727029,217.215196519505,209.088495871816,13.9362077749552,73.5891965944861,29.0069692642388,"Initial","sentence medial","focus",282.651510532407,-30.5100453414234,6.12604374597816,-0.469138029066439,-1.54579035195896,1.15165213646398,-0.723677941817857
"titi",221,"S16",2,"PSE-20150318-S16_F.WAV","i","","i","light","light","yes","no","a","right","titi","die",NA,NA,"",0.216052420616961,227.959740777659,230.641781188165,234.914725839665,238.91942238325,238.356302839973,231.270291825855,215.802193452047,13.6085697034121,76.2768820568101,28.5779524387757,"Final","sentence medial","focus",229.507263189949,-4.6942504829568,3.54396041140108,-0.450767637878051,-0.394477937480291,1.33027427354042,1.90654068997255
