WordOrder	Word	Participant	Position	Vowel	Weight	Focus	Final	Duration	F0	H1H2	Intensity	SpectralBalance
44	tuntun	S1	penult	u	heavy	in-focus	final	0.091664466430729	240.783434793366	5.71878525536822	71.8594583401804	46.0535396321685
44	tuntun	S1	ultima	u	heavy	in-focus	final	0.143773030985898	238.170658042404	4.51824061940062	74.171128309557	42.1834596422295
45	sinting	S1	penult	i	heavy	in-focus	final	0.09071714162917	228.327311332439	4.98144479755364	74.9108609682968	34.9994598951019
45	sinting	S1	ultima	i	heavy	in-focus	final	0.173974695595462	236.505207334376	0.040331216203263	76.5629476087439	34.1087190022324
46	tungku	S1	penult	u	heavy	in-focus	final	0.075110756853718	234.776923543657	2.20367749324947	77.158521451295	46.1267898480625
46	tungku	S1	ultima	u	heavy	in-focus	final	0.285621238826252	228.864975734648	3.68226610562469	76.4461281040969	54.8155426732196
47	cete	S1	penult	e	light	in-focus	final	0.057015441932293	225.870073261434	0.35789851757751	77.970163085557	39.3544385760969
47	cete	S1	ultima	e	light	in-focus	final	0.326499050001104	228.205441989986	-0.567541684099595	75.2815525726427	38.640626329524
48	titi	S1	penult	i	light	in-focus	final	0.100423899028783	236.379092568503	2.94127587956737	76.3882097695127	35.8959629235576
48	titi	S1	ultima	i	light	in-focus	final	0.39812354586806	224.721672269399	1.23872995187786	71.3381318797827	30.9843179414175
49	pantas	S1	penult	a	heavy	in-focus	final	0.127290766726787	216.009291396233	4.71932996854318	76.220107740754	39.2918212668925
49	pantas	S1	ultima	a	heavy	in-focus	final	0.24186612070838	231.538027534982	7.26505991123758	78.0276873918315	36.2015446322303
50	pipis	S1	penult	i	light	in-focus	final	0.075984151705029	231.917510023099	1.86252703483207	76.2186472718845	39.1096823366119
50	pipis	S1	ultima	i	light	in-focus	final	0.234964007591373	233.934417844489	0.64156777275236	78.2398725693248	36.5587975964347
51	pantas	S1	penult	a	heavy	in-focus	final	0.147180700659419	237.255207352245	8.00582910307541	72.0501357587555	36.6495007452145
51	pantas	S1	ultima	a	heavy	in-focus	final	0.252194414316136	240.742991821359	6.66660125034781	77.3020643291055	32.7333340208794
52	sinting	S1	penult	i	heavy	in-focus	final	0.098644634633786	230.572881906612	2.33275282781946	78.0463661928849	32.6323845865917
52	sinting	S1	ultima	i	heavy	in-focus	final	0.209799199081885	238.602260511123	-0.476983185042329	77.5942272527137	34.8413264972075
53	tempe	S1	penult	e	heavy	in-focus	final	0.038311280445043	232.019936776634	6.06409023425071	76.332058504546	40.0445873196538
53	tempe	S1	ultima	e	heavy	in-focus	final	0.369313543830287	229.700212833018	0.720224585987353	72.7802299944924	35.0035360515105
54	pipis	S1	penult	i	light	in-focus	final	0.067119865214295	233.670312694851	5.15905816512574	73.7469889986721	37.8696222562005
54	pipis	S1	ultima	i	light	in-focus	final	0.24034592962812	246.994112018976	-0.033658330029574	78.7940598065249	33.1421158349194
55	titi	S1	penult	i	light	in-focus	final	0.104856378653267	226.069944846115	2.40416392272186	74.3971539832065	33.8751103796467
55	titi	S1	ultima	i	light	in-focus	final	0.344407104475692	226.127570239801	1.46361786381697	72.3880301780779	33.2846186852966
57	tempe	S1	penult	e	heavy	in-focus	final	0.029081350533716	239.405667533541	6.32891284980943	78.0671203073937	38.2389618676351
57	tempe	S1	ultima	e	heavy	in-focus	final	0.384895601921698	225.389077429817	-0.073862969426706	73.5529864435671	30.9381412373369
59	tuntun	S1	penult	u	heavy	in-focus	final	0.083213301736748	224.748701634369	3.96978897112809	74.0688913405005	41.6556555151866
59	tuntun	S1	ultima	u	heavy	in-focus	final	0.156730534485462	238.593811815496	0.964944768743521	76.4188560389554	35.7639111161018
61	tatap	S1	penult	a	light	out-of-focus	non-final	0.090770593277171	227.058707461748	3.28907767866567	78.8234072848272	34.282458528137
61	tatap	S1	ultima	a	light	out-of-focus	non-final	0.115751552643928	274.52511749062	4.19014808792707	80.2517484928498	32.6337648168064
62	tatap	S1	penult	a	light	out-of-focus	non-final	0.094681595258294	229.252476614948	3.72054273980694	77.358448115527	34.9196113557596
62	tatap	S1	ultima	a	light	out-of-focus	non-final	0.115449758330271	275.657121098632	7.53537372025957	77.7060248360182	33.9948184277753
63	tatap	S1	penult	a	light	out-of-focus	non-final	0.095592921291029	223.953067978024	6.08393238280888	78.3141887454008	35.9019799561982
63	tatap	S1	ultima	a	light	out-of-focus	non-final	0.119853303864545	274.843096898086	9.26777929525848	73.7405578099694	35.4490914601905
65	tatap	S1	penult	a	light	out-of-focus	non-final	0.087653134305072	248.615076186541	0.62435845288536	79.6022870885899	30.7811718252895
65	tatap	S1	ultima	a	light	out-of-focus	non-final	0.123345624092508	275.583941251917	4.48902862864335	78.9043130088673	32.806579259494
67	tempe	S1	penult	e	heavy	out-of-focus	non-final	0.049136213477993	241.387537105688	7.88121663156899	76.3233352739097	33.8155171190495
67	tempe	S1	ultima	e	heavy	out-of-focus	non-final	0.185952934542854	308.19217327454	4.93161433444	78.0973370761443	37.4400297937357
68	tempe	S1	penult	e	heavy	out-of-focus	non-final	0.047988989706767	267.544990905489	6.58682421712108	77.9614316242403	31.355646881705
68	tempe	S1	ultima	e	heavy	out-of-focus	non-final	0.091014347127725	353.277412881774	5.30090667234584	79.1369081228591	39.7328418377048
69	tempe	S1	penult	e	heavy	out-of-focus	non-final	0.055950736646821	245.957700313102	6.96500877056042	76.9343811401535	34.535160670671
69	tempe	S1	ultima	e	heavy	out-of-focus	non-final	0.106749019364486	307.390289033959	5.03551763198792	77.4685520123726	36.0681595694454
70	tempe	S1	penult	e	heavy	out-of-focus	non-final	0.066547253707029	236.014799218808	5.40984855558648	76.8220610249304	37.9962967042417
70	tempe	S1	ultima	e	heavy	out-of-focus	non-final	0.241161708008462	308.470308295517	5.38396611531896	76.3471674612376	35.8546357453713
73	pipis	S1	penult	i	light	out-of-focus	non-final	0.081707292908845	227.359313762066	0.889069839418156	78.0407578475857	37.3342292258144
73	pipis	S1	ultima	i	light	out-of-focus	non-final	0.112851546619993	289.227312543595	0.298078625410199	79.192961877592	33.6448718303851
74	pipis	S1	penult	i	light	out-of-focus	non-final	0.083898098512805	231.508461653503	-0.598371762651098	78.0820635627212	37.944247327382
74	pipis	S1	ultima	i	light	out-of-focus	non-final	0.141467113299996	293.89298247434	2.8145510416283	76.3556552949599	33.7494556352003
75	pipis	S1	penult	i	light	out-of-focus	non-final	0.084675073624624	234.585440076858	0.780864537447691	77.0401628169294	39.1318669790136
